MeOw Station [2]
Project & Location: DUNEX - Pea Island, NC
Installation Date: September 16, 2021
DateTime,UnixTime,Battery_V,SonarRange_mm
2021-09-13 08:52:52,1631523172,3.99,723
2021-09-13 08:52:53,1631523173,3.97,723
2021-09-13 08:52:54,1631523174,3.97,723
2021-09-13 08:52:55,1631523175,3.99,723
2021-09-13 08:52:56,1631523176,3.99,723
2021-09-13 08:52:57,1631523177,3.99,723
2021-09-13 08:52:58,1631523178,3.99,723
2021-09-13 08:52:59,1631523179,3.97,723
2021-09-13 08:53:00,1631523180,3.99,723
2021-09-13 08:53:01,1631523181,3.99,723
2021-09-13 08:53:02,1631523182,3.99,723
2021-09-13 08:53:03,1631523183,3.99,723
2021-09-13 08:53:04,1631523184,3.99,723
2021-09-13 08:53:05,1631523185,3.99,723
2021-09-13 08:53:06,1631523186,3.99,723
2021-09-13 08:53:07,1631523187,3.97,723
2021-09-13 08:53:08,1631523188,3.99,723
2021-09-13 08:53:09,1631523189,3.99,723
2021-09-13 08:53:10,1631523190,3.99,723
2021-09-13 08:53:11,1631523191,3.97,723
2021-09-13 08:53:12,1631523192,3.99,723
2021-09-13 08:53:13,1631523193,3.97,723
2021-09-13 08:53:14,1631523194,3.97,723
2021-09-13 08:53:15,1631523195,3.99,723
2021-09-13 08:53:16,1631523196,3.99,723
2021-09-13 08:53:17,1631523197,3.99,723
2021-09-13 08:53:18,1631523198,3.97,723
2021-09-13 08:53:19,1631523199,3.97,723
2021-09-13 08:53:20,1631523200,3.97,723
2021-09-13 08:53:21,1631523201,3.97,723
2021-09-13 08:53:22,1631523202,3.99,723
2021-09-13 08:53:23,1631523203,3.97,723
2021-09-13 08:53:24,1631523204,3.97,723
2021-09-13 08:53:25,1631523205,3.97,723
2021-09-13 08:53:26,1631523206,3.99,723
2021-09-13 08:53:27,1631523207,3.99,723
2021-09-13 08:53:28,1631523208,3.97,723
2021-09-13 08:53:29,1631523209,3.99,723
2021-09-13 08:53:30,1631523210,3.99,723
2021-09-13 08:53:31,1631523211,3.97,723
2021-09-13 08:53:32,1631523212,3.99,723
2021-09-13 08:53:33,1631523213,3.97,723
2021-09-13 08:53:34,1631523214,3.99,723
2021-09-13 08:53:35,1631523215,3.97,723
2021-09-13 08:53:36,1631523216,3.99,723
2021-09-13 08:53:37,1631523217,3.99,723
2021-09-13 08:53:38,1631523218,3.99,723
2021-09-13 08:53:39,1631523219,3.99,723
2021-09-13 08:53:40,1631523220,3.99,723
2021-09-13 08:53:41,1631523221,3.97,723
2021-09-13 08:53:42,1631523222,3.99,723
2021-09-13 08:53:43,1631523223,3.99,723
2021-09-13 08:53:44,1631523224,3.97,723
2021-09-13 08:53:45,1631523225,3.97,723
2021-09-13 08:53:46,1631523226,3.99,723
2021-09-13 08:53:47,1631523227,3.99,723
2021-09-13 08:53:48,1631523228,3.99,723
2021-09-13 08:53:49,1631523229,3.97,723
2021-09-13 08:53:50,1631523230,3.99,723
2021-09-13 08:53:51,1631523231,3.99,723
2021-09-13 08:53:52,1631523232,3.99,723
2021-09-13 08:53:53,1631523233,3.99,723
2021-09-13 08:53:54,1631523234,3.97,723
2021-09-13 08:53:55,1631523235,3.99,723
2021-09-13 08:53:56,1631523236,3.99,723
2021-09-13 08:53:57,1631523237,3.99,723
2021-09-13 08:53:58,1631523238,3.99,723
2021-09-13 08:53:59,1631523239,3.97,723
2021-09-13 08:54:00,1631523240,3.99,723
2021-09-13 08:54:01,1631523241,3.99,723
2021-09-13 08:54:02,1631523242,3.99,723
2021-09-13 08:54:03,1631523243,3.97,723
2021-09-13 08:54:04,1631523244,3.97,723
2021-09-13 08:54:05,1631523245,3.99,724
2021-09-13 08:54:06,1631523246,3.99,723
2021-09-13 08:54:07,1631523247,3.97,724
2021-09-13 08:54:08,1631523248,3.97,724
2021-09-13 08:54:09,1631523249,3.97,723
2021-09-13 08:54:10,1631523250,3.97,724
2021-09-13 08:54:11,1631523251,3.99,723
2021-09-13 08:54:12,1631523252,3.99,724
2021-09-13 08:54:13,1631523253,3.99,724
2021-09-13 08:54:14,1631523254,3.97,724
2021-09-13 08:54:15,1631523255,3.97,724
2021-09-13 08:54:16,1631523256,3.99,724
2021-09-13 08:54:17,1631523257,3.97,724
2021-09-13 08:54:18,1631523258,3.97,723
2021-09-13 08:54:19,1631523259,3.97,724
2021-09-13 08:54:20,1631523260,3.97,725
2021-09-13 08:54:21,1631523261,3.97,725
2021-09-13 08:54:22,1631523262,3.97,724
2021-09-13 08:54:23,1631523263,3.99,725
2021-09-13 08:54:24,1631523264,3.99,725
2021-09-13 08:54:25,1631523265,3.99,724
2021-09-13 08:54:26,1631523266,3.99,724
2021-09-13 08:54:27,1631523267,3.99,724
2021-09-13 08:54:28,1631523268,3.97,724
2021-09-13 08:54:29,1631523269,3.97,724
2021-09-13 08:54:30,1631523270,3.97,725
2021-09-13 08:54:31,1631523271,3.97,725
2021-09-13 08:54:32,1631523272,3.97,725
2021-09-13 08:54:33,1631523273,3.99,725
2021-09-13 08:54:34,1631523274,3.99,723
2021-09-13 08:54:35,1631523275,3.97,724
2021-09-13 08:54:36,1631523276,3.99,723
2021-09-13 08:54:37,1631523277,3.97,723
2021-09-13 08:54:38,1631523278,3.99,723
2021-09-13 08:54:39,1631523279,3.97,724
2021-09-13 08:54:40,1631523280,3.99,724
2021-09-13 08:54:41,1631523281,3.99,724
2021-09-13 08:54:42,1631523282,3.97,723
2021-09-13 08:54:43,1631523283,3.97,725
2021-09-13 08:54:44,1631523284,3.97,723
2021-09-13 08:54:45,1631523285,3.99,723
2021-09-13 08:54:46,1631523286,3.97,724
2021-09-13 08:54:47,1631523287,3.99,724
